sample	bigwigPath	Group_label	strand
NA19096_naRNAseq	../code/rna_seq/bigwigs/unstranded/NA19096_naRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.NMD_enriched	.
NA19098_naRNAseq	../code/rna_seq/bigwigs/unstranded/NA19098_naRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.NMD_enriched	.
NA19099_naRNAseq	../code/rna_seq/bigwigs/unstranded/NA19099_naRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.NMD_enriched	.
NA19102_naRNAseq	../code/rna_seq/bigwigs/unstranded/NA19102_naRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.NMD_enriched	.
NA19107_naRNAseq	../code/rna_seq/bigwigs/unstranded/NA19107_naRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.NMD_enriched	.
NA19108_naRNAseq	../code/rna_seq/bigwigs/unstranded/NA19108_naRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.NMD_enriched	.
NA19114_naRNAseq	../code/rna_seq/bigwigs/unstranded/NA19114_naRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.NMD_enriched	.
NA19117_naRNAseq	../code/rna_seq/bigwigs/unstranded/NA19117_naRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.NMD_enriched	.
NA19118_naRNAseq	../code/rna_seq/bigwigs/unstranded/NA19118_naRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.NMD_enriched	.
NA19119_naRNAseq	../code/rna_seq/bigwigs/unstranded/NA19119_naRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.NMD_enriched	.
NA19121_naRNAseq	../code/rna_seq/bigwigs/unstranded/NA19121_naRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.NMD_enriched	.
NA19130_naRNAseq	../code/rna_seq/bigwigs/unstranded/NA19130_naRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.NMD_enriched	.
NA19131_naRNAseq	../code/rna_seq/bigwigs/unstranded/NA19131_naRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.NMD_enriched	.
NA19137_naRNAseq	../code/rna_seq/bigwigs/unstranded/NA19137_naRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.NMD_enriched	.
NA19138_naRNAseq	../code/rna_seq/bigwigs/unstranded/NA19138_naRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.NMD_enriched	.
NA19141_naRNAseq	../code/rna_seq/bigwigs/unstranded/NA19141_naRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.NMD_enriched	.
NA19143_naRNAseq	../code/rna_seq/bigwigs/unstranded/NA19143_naRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.NMD_enriched	.
NA19146_naRNAseq	../code/rna_seq/bigwigs/unstranded/NA19146_naRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.NMD_enriched	.
NA19147_naRNAseq	../code/rna_seq/bigwigs/unstranded/NA19147_naRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.NMD_enriched	.
NA19150_naRNAseq	../code/rna_seq/bigwigs/unstranded/NA19150_naRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.NMD_enriched	.
NA19152_naRNAseq	../code/rna_seq/bigwigs/unstranded/NA19152_naRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.NMD_enriched	.
NA19153_naRNAseq	../code/rna_seq/bigwigs/unstranded/NA19153_naRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.NMD_enriched	.
NA19160_naRNAseq	../code/rna_seq/bigwigs/unstranded/NA19160_naRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.NMD_enriched	.
NA19171_naRNAseq	../code/rna_seq/bigwigs/unstranded/NA19171_naRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.NMD_enriched	.
NA19184_naRNAseq	../code/rna_seq/bigwigs/unstranded/NA19184_naRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.NMD_enriched	.
NA19190_naRNAseq	../code/rna_seq/bigwigs/unstranded/NA19190_naRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.NMD_enriched	.
NA19198_naRNAseq	../code/rna_seq/bigwigs/unstranded/NA19198_naRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.NMD_enriched	.
NA19200_naRNAseq	../code/rna_seq/bigwigs/unstranded/NA19200_naRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.NMD_enriched	.
NA19201_naRNAseq	../code/rna_seq/bigwigs/unstranded/NA19201_naRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.NMD_enriched	.
NA19206_naRNAseq	../code/rna_seq/bigwigs/unstranded/NA19206_naRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.NMD_enriched	.
NA19207_naRNAseq	../code/rna_seq/bigwigs/unstranded/NA19207_naRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.NMD_enriched	.
NA19209_naRNAseq	../code/rna_seq/bigwigs/unstranded/NA19209_naRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.NMD_enriched	.
NA19210_naRNAseq	../code/rna_seq/bigwigs/unstranded/NA19210_naRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.NMD_enriched	.
NA19213_naRNAseq	../code/rna_seq/bigwigs/unstranded/NA19213_naRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.NMD_enriched	.
NA19214_naRNAseq	../code/rna_seq/bigwigs/unstranded/NA19214_naRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.NMD_enriched	.
NA19225_naRNAseq	../code/rna_seq/bigwigs/unstranded/NA19225_naRNAseq.bw	FairAndGEUVADIS_naRNA_vs_SteadyState.NMD_enriched	.
